genre,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,valence,release_date
Movie,Henri Salvador,C'est beau de faire un Show,0,0.611,0.389,99373,0.91,0,0.346,-1.828,0.0525,0.814,7/24/2020
Movie,Martin & les fÃ©es,Perdu d'avance (par Gad Elmaleh),1,0.246,0.59,137373,0.737,0,0.151,-5.559,0.0868,0.816,4/25/2000
Movie,Joseph Williams,Don't Let Me Be Lonely Tonight,3,0.952,0.663,170267,0.131,0,0.103,-13.879,0.0362,0.368,7/24/2020
Movie,Henri Salvador,Dis-moi Monsieur Gordon Cooper,0,0.703,0.24,152427,0.326,0,0.0985,-12.178,0.0395,0.227,7/18/2000
Movie,Fabien Nataf,Ouverture,4,0.95,0.331,82625,0.225,0.123,0.202,-21.15,0.0456,0.39,01-01-2000
Movie,Henri Salvador,Le petit souper aux chandelles,0,0.749,0.578,160627,0.0948,0,0.107,-14.97,0.143,0.358,11/14/2000
Movie,Martin & les fÃ©es,"PremiÃ¨res recherches (par Paul Ventimila, Lorie Pester, VÃ©ronique Jannot, MichÃ¨le Laroque & GÃ©rard Lenorman)",2,0.344,0.703,212293,0.27,0,0.105,-12.675,0.953,0.533,10-01-2000
Movie,Laura Mayne,Let Me Let Go,15,0.939,0.416,240067,0.269,0,0.113,-8.949,0.0286,0.274,2000
Movie,Chorus,Helka,0,0.00104,0.734,226200,0.481,0.00086,0.0765,-7.725,0.046,0.765,01-01-2009
Movie,Le Club des Juniors,Les bisous des bisounours,10,0.319,0.598,152694,0.705,0.00125,0.349,-7.79,0.0281,0.718,3/31/2000
Movie,Leopold Stokowski,Symphony No.4 In E Minor Op.98 : IV. Allegro Energico E Passionato,0,0.921,0.191,566960,0.145,0.529,0.141,-17.239,0.0393,0.0849,6/19/2020
Movie,Randy Newman,The Hanging (Maverick - Original Motion Picture Score) - Remastered,2,0.0383,0.23,121333,0.133,0.887,0.0872,-19.051,0.0302,0.118,10/13/2000
Movie,Idoles De La Musique,J'ai demandÃ© Ã  la lune,4,0.215,0.68,213589,0.6,0.0729,0.111,-7.702,0.0258,0.433,12/18/2020
Movie,Chorus,Mangala Aarti,3,0.958,0.758,308627,0.264,0,0.0543,-11.966,0.0496,0.742,3/26/2021
Movie,Richard M. Sherman,Keys of Love,0,0.97,0.4,159253,0.174,0.933,0.13,-13.869,0.0458,0.27,05-09-2000
Movie,Michel Roux,Les aventures d'ArsÃ¨ne Lupin: 813 - Partie 6,0,0.548,0.588,2447870,0.405,0,0.754,-15.55,0.938,0.48,11/20/2020
Movie,Jean Claude Corbel,Diane,0,0.7,0.625,523424,0.237,0,0.319,-16.655,0.561,0.298,12-12-2000
Movie,Bernard Minet,Ultra Man 80,3,0.488,0.744,178107,0.953,0,0.453,-4.986,0.037,0.926,12/16/2020
Movie,Henri Salvador,Veunise,1,0.381,0.451,194360,0.491,0,0.152,-8.73,0.0548,0.516,4/18/2000
Movie,Amalya,Ladies And Gentlemen,4,0.161,0.522,207240,0.748,7.25E-06,0.111,-5.203,0.0824,0.733,7/18/2000
Movie,Martin & les fÃ©es,"Tout est possible (par Anggun, Dany Brillant, Garou, GÃ©rard Lenorman, Julie Zenatti, Lisa Angell, Lorie Pester, Natasha St-Pier, Patrick Fiori, Paul Ventimila, Sara Carreira, Veronique Jannot & Vincent Niclo)",1,0.852,0.362,219600,0.436,0,0.0941,-6.971,0.0321,0.32,2000
Movie,DorothÃ©e,Clic clac cloc,1,0.513,0.855,183467,0.504,0,0.0778,-12.359,0.0737,0.682,01-01-2000
Movie,Henri Salvador,Monsieur Boum Boum,8,0.689,0.704,161773,0.804,0.0422,0.18,-6.699,0.109,0.836,2000
Movie,Jean Claude Corbel,Pourquoi aller plus loin ?,0,0.669,0.707,71299,0.696,0,0.197,-10.472,0.028,0.833,03-05-2000
Movie,Henri Salvador,Quand je monte chez toi,5,0.706,0.526,181441,0.298,0,0.143,-7.287,0.0621,0.396,8/17/2000
Movie,Jean Piat,Comme minuit sonnait,0,0.882,0.711,299040,0.218,0,0.145,-22.212,0.681,0.591,01-01-2000
Movie,Henri Salvador,Le FÃªtard,0,0.159,0.636,152840,0.594,0,0.184,-7.943,0.084,0.669,8/30/2000
Movie,Lucie Dolene,Le mariage des poupÃ©es,0,0.864,0.594,156973,0.481,0,0.359,-7.678,0.0917,0.728,4/18/2000
Movie,Henri Salvador,Une chanson douce,2,0.716,0.835,142813,0.384,8.13E-06,0.265,-15.629,0.127,0.971,01-11-2000
Movie,Chorus,Mangani â€“ Do Banjare / Amba Heth,0,0.184,0.695,430240,0.5,0.000328,0.33,-10.217,0.0351,0.756,4/18/2000
Movie,Chorus,A ty siÄ™ Å›miejesz ze mnie,0,0.00323,0.711,221320,0.941,0.0011,0.309,-4.008,0.118,0.812,7/18/2000
Movie,Martin & les fÃ©es,Une journÃ©e d'Ã©cole qui s'achÃ¨ve (par VÃ©ronique Jannot),4,0.305,0.618,49373,0.283,0,0.226,-16.222,0.85,0.751,03-07-2000
Movie,Henri Salvador,C Est Le Be Bop,0,0.922,0.681,129707,0.44,0,0.0397,-12.508,0.222,0.747,3/24/2000
Movie,Henri Salvador,La Samba De LÃ -Bas,0,0.942,0.883,171027,0.418,0,0.362,-11.432,0.228,0.858,4/14/2000
Movie,Chorus,Ambarsare Diyan Warhiyan,0,0.123,0.784,235000,0.653,0.002,0.222,-10.732,0.0584,0.968,10-01-2000
Movie,Henri Salvador,Silence on tourne,0,0.767,0.776,169352,0.468,1.27E-06,0.214,-11.235,0.317,0.908,11-07-2000
Movie,Chorus,For the Game,0,0.164,0.848,215333,0.826,0,0.131,-6.746,0.253,0.637,11-07-2000
Movie,Henri Salvador,Quand un artiste - live,1,0.619,0.483,218187,0.497,0,0.421,-12.089,0.415,0.569,09-04-2000
Movie,Richard M. Sherman,Afterglow,0,0.932,0.348,127507,0.2,0.919,0.109,-14.06,0.0436,0.188,09-04-2000
Movie,Larry Groce,"Sailing, Sailing",0,0.508,0.567,22413,0.654,0,0.119,-6.058,0.0877,0.618,2000
Movie,Chorus,Tehni Pe Kisi Shajar,0,0.649,0.483,189027,0.366,8.32E-06,0.0986,-15.603,0.0296,0.856,01-01-2000
Movie,Leopold Stokowski,"BourrÃ©e, From English Suite No. 2, BWV 807",1,0.983,0.42,199160,0.0638,0.976,0.231,-20.951,0.0426,0.548,8/14/2000
Movie,Henri Salvador,La Vie grise,0,0.934,0.336,160053,0.107,4.90E-05,0.453,-15.267,0.0355,0.222,04-11-2000
Movie,Patrick Rocca,To Be or Not to Be,1,0.576,0.503,121533,0.456,0,0.133,-10.465,0.0548,0.691,2000
Movie,Ken Page,Dancing with Gene,0,0.751,0.566,371720,0.512,0,0.158,-8.904,0.666,0.464,10-01-2000
Movie,Ken Page,Penn Station - Seesaw,0,0.614,0.434,77067,0.528,0,0.107,-7.479,0.276,0.735,3/31/2000
Movie,Bernard Minet,Dragon Ball GT,4,0.0287,0.669,181173,0.937,0,0.0809,-6.85,0.0713,0.641,4/18/2000
Movie,Debbie Davis,I'll Feel Much Better When You Cry,3,0.285,0.555,278160,0.773,0.000732,0.0929,-5.438,0.04,0.616,7/18/2000
Movie,Henri Salvador,"La samba de lÃ -bas (De l'opÃ©rette ""Le Chevalier Bayard"")",0,0.659,0.804,169853,0.636,0,0.158,-6.968,0.0897,0.932,8/22/2000
Movie,DorothÃ©e,J'ai retrouvÃ© ma valise,1,0.581,0.885,212627,0.341,0,0.0928,-16.44,0.0758,0.911,12-04-2000
Movie,Claire Guyot,Le silence,1,0.902,0.489,128871,0.26,0.000683,0.0944,-11.876,0.0884,0.371,2000
Movie,Chantal Goya,Animauxville (DÃ©part) - Live,5,0.386,0.43,47172,0.932,2.94E-05,0.539,-9.149,0.0568,0.393,01-01-2000
Movie,Henri Salvador,Sketch producteur (suite),1,0.712,0.63,56067,0.606,0,0.614,-10.914,0.961,0.499,2000
Movie,Lucie Dolene,Sphinx,0,0.917,0.428,198040,0.317,0,0.155,-9.099,0.037,0.509,01-01-2000
Movie,Jean Piat,L'Ã‚ne chargÃ© d'Ã©ponges et l'Ã‚ne chargÃ© de sel,0,0.924,0.683,101653,0.147,0,0.606,-21.998,0.822,0.595,2000
Movie,Justin Hurwitz,"Rialto - From ""La La Land"" Score",3,0.967,0.55,28027,0.0148,0.0608,0.0793,-22.731,0.0492,0.592,12-04-2000
Movie,Chorus,Stous athanatous nekrous (To Immortal Deads),0,0.989,0.262,220173,0.151,0,0.137,-14.86,0.036,0.369,2000
Movie,Henri Salvador,Bon Dieu qu'elle est con - live,1,0.728,0.538,139840,0.294,0,0.71,-12.646,0.119,0.279,7/25/2000
Movie,Randy Newman,Jack To The Rescue - Meet The Parents/Soundtrack,1,0.871,0.297,65560,0.0808,0.891,0.208,-20.471,0.031,0.183,2000
Movie,Chorus,Shree Ram Chant,4,0.126,0.542,515613,0.797,0,0.219,-4.337,0.0329,0.563,2000
Movie,Marie Ruggieri,"Oh quel chien/Il se traÃ®ne - From ""Lady and the Tramp""/French Soundtrack Version",0,0.929,0.443,144560,0.16,0,0.157,-15.269,0.0689,0.193,12-12-2000
Movie,Chorus,Mangal Aarti,0,0.455,0.714,184987,0.346,0,0.592,-14.199,0.0967,0.601,3/31/2000
Movie,Henri Salvador,MalgrÃ© tes serments,0,0.983,0.341,136253,0.156,0.0418,0.232,-14.696,0.0312,0.336,2000
Movie,Henri Salvador,Audustin ! Y'a quelqu'un qui te demande,0,0.733,0.775,194769,0.356,0,0.158,-11.581,0.458,0.691,03-05-2000
Movie,Chorus,Nadipinche Naa Naayaka,0,0.71,0.582,303413,0.679,0.0286,0.337,-9.225,0.0547,0.84,12-12-2000
Movie,Karine Costa,Super Insomniaque,0,0.0575,0.59,248960,0.847,0,0.32,-7.995,0.138,0.757,11/13/2000
Movie,Henri Salvador,Papa loves mambo,0,0.667,0.602,201587,0.702,1.66E-05,0.117,-6.352,0.149,0.918,10/13/2000
Movie,Chorus,Om Jayanti Mangla,0,0.791,0.447,107703,0.253,0,0.0919,-11.927,0.0349,0.469,11-07-2000
Movie,DorothÃ©e,J'ai vidÃ© ma valise,0,0.334,0.84,148867,0.557,0,0.181,-14.391,0.0407,0.967,8/30/2000
Movie,Chorus,Takhti Par Takhti,0,0.933,0.676,214093,0.697,0.0117,0.484,-7.81,0.109,0.914,2000
Movie,Fabien Nataf,I Try,4,0.48,0.914,75102,0.224,2.44E-05,0.232,-15.397,0.0556,0.761,2000
Movie,Pascal Laffarge,Il pleut bergÃ¨re,0,0.615,0.394,121480,0.384,0.0106,0.119,-10.737,0.0294,0.33,11-07-2000
Movie,Frank Churchill,Snow White: Taas paiva kaunein on (Some Day My Prince Will Come),0,0.979,0.238,147067,0.151,0.000184,0.13,-17.031,0.0594,0.0767,2000
Movie,Chorus,Baaramma - Bit,0,0.939,0.582,75337,0.174,8.63E-05,0.128,-8.096,0.0342,0.366,01-01-2000
Movie,Jean Claude Corbel,Le Vilain Petit Canard 2,0,0.695,0.71,492813,0.231,0,0.176,-16.156,0.874,0.493,8/17/2000
Movie,Jean Claude Corbel,Les poissons voyageurs,0,0.756,0.564,248221,0.275,0,0.313,-14.068,0.199,0.413,2000
Movie,Dominique Tirmont,La Toulousaine,0,0.91,0.388,118600,0.448,0,0.349,-6.823,0.0558,0.679,11-07-2000
Movie,Henri Salvador,Monsieur Le Bon Dieu,0,0.776,0.363,180133,0.153,9.00E-06,0.355,-10.686,0.0346,0.352,11/13/2000
Movie,Jean Claude Corbel,Le voyage Ã  Lilliput,0,0.715,0.569,978303,0.345,0,0.111,-12.506,0.484,0.351,04-02-2000
Movie,Jean Claude Corbel,Le Chat BottÃ© 4,0,0.778,0.61,199587,0.266,0,0.269,-15.15,0.924,0.633,2000
Movie,Chorus,Tsamikos Horos (Tsamikos Dance),0,0.398,0.633,211133,0.605,0.000169,0.109,-5.584,0.0288,0.727,03-05-2000
Movie,Chorus,Lalitha Parameshwari,0,0.761,0.672,69355,0.651,0.00445,0.109,-8.598,0.0278,0.813,10-11-2000
Movie,Jean Claude Corbel,Le Petit Poucet 2,0,0.616,0.714,292720,0.253,0,0.21,-15.703,0.892,0.504,11-07-2000
Movie,Leopold Stokowski,"We All Believe In One God, Giant Fugue, BWV 680",1,0.962,0.168,195827,0.185,0.855,0.125,-17.834,0.0385,0.195,01-01-2000
Movie,Dominique Tirmont,La petite diligence,1,0.611,0.702,134093,0.509,0,0.9,-8.535,0.0685,0.77,3/24/2000
Movie,Debbie Davis,Rap-a-Cito,6,0.525,0.6,61800,0.658,4.81E-05,0.131,-11.71,0.0537,0.334,01-01-2001
Movie,Chorus,Thandeye Oh,0,0.876,0.468,259000,0.642,0.000381,0.177,-9.841,0.0408,0.758,11-06-2001
Movie,Chorus,Banga Aamar,0,0.847,0.494,367747,0.444,0,0.1,-6.797,0.0285,0.373,01-01-2001
Movie,Bernard Minet,Dis-moi monsieur Bernard Minet,3,0.66,0.657,247600,0.626,6.03E-06,0.199,-8.672,0.0283,0.808,12/23/2020
Movie,Chorus,Sai Parameshwar Sai Karuneshwar,7,0.366,0.694,315693,0.376,0,0.146,-10.449,0.0298,0.59,01-01-2001
Movie,Chorus,Shanthi Koru,0,0.357,0.61,255347,0.833,3.55E-05,0.248,-14.082,0.503,0.194,01-01-2001
Movie,Chorus,Aa Divyanaama,0,0.813,0.525,296373,0.607,2.95E-05,0.119,-9.787,0.0282,0.699,8/14/2001
Movie,Martin & les fÃ©es,Le plus beau de tes rÃªves (par Anggun),4,0.345,0.505,154493,0.522,0,0.207,-6.523,0.037,0.385,01-01-2001
Movie,Henri Salvador,Chanson surrealiste,0,0.79,0.701,133982,0.347,3.16E-06,0.249,-10.82,0.627,0.571,9/18/2001
Movie,Henri Salvador,Grosse Fille Ne Pleure Pas - Remastered,11,0.0367,0.441,137733,0.643,0,0.0925,-7.819,0.043,0.736,2001
Movie,Claire Guyot,Assise au bord du monde,0,0.744,0.193,234754,0.477,7.44E-05,0.173,-9.086,0.043,0.191,2/24/2001
Movie,Chorus,Koti Chennaya(Vol.1 &amp; 2),0,0.84,0.688,3435625,0.331,0,0.0673,-8.645,0.772,0.529,01-01-2001
Movie,Henri Salvador,"Dis-moi qu'tu m'aimes, rock",1,0.844,0.592,156267,0.632,0,0.0908,-4.17,0.144,0.748,2001
